handle,rating,max_rating
tlopex,1085,1134
liangkaixing,1642,1642
zpf,535,621
empathy117,1455,1487
disloss,537,598
2021040048,1831,1831
buctAI2001lpf,631,763
LetMeFly,772,1091
xsysgrandfather,1203,1203
waiiting,1168,1197
code__learner,910,910
zouce,444,534
ZZXzzx0_0,1716,1716
Hunter111,,
liangcha_xyy,629,629
ug1y_b0y,299,333
sunxiaodi,757,757
lzh6758,88,88
Carpe,556,556
Uchujin,23,23
VictoryYan,868,868
tomatoes,682,717
ljq0923,109,109
Hshhhhh,86,86
Carlyou,463,463
yuyuy1,14,14
Yyyyyyc,10,10
dongdziz,2034,2034
hhh123,905,945
starr,1122,1122
six2021040073,424,424
zxy0817,576,576
Duora,701,701
lixinying,775,775
LJT2021040086,101,101
konodioda1,124,142
FanWQ,826,854
za1415,736,736
Rayanx,905,905
rayadwind,443,443
jcbi,78,78
yostpetty,760,760
sylviiiiiia,538,538
KillyMolisian,564,564
longchengx,622,622
buctwky,1064,1064
we1shi,52,52
LancerLas,13,13
xiawaer,43,43
panjr,,
wuliiiii,15,15
wxhtzw,108,111
ymyyy,,
nobito,235,235
QIAQIA,10,10
youkecheng,6,6
Himura_qf,64,64
zkwnewbee,510,510
ilheart9,142,142
jokerandjack,37,37
bhy,7,7
Azhuei,,
wudixiaozi,,
qiqi,2,2
wei2,6,6
sjzwdcyh,33,33
Blakeke,2,2
ilway,36,36
angang,200,200
jth030126,46,46
gaolaotou,,
HPXYY,,
yuqii,112,134
springcake,152,152
GaoJie,28,28
yumikohjh,20,20
frankyjx,6,6
ly1715,,
Drqian,,
ybwz,,
yja66,40,40
liuyaohua,260,260
flyinglist,110,110
lib5,93,93
ggmanu,,
buzaibailan,,
Sshrimp,16,16
zaamygod,169,169
demkO3,19,19
jtouzj,267,267
aWangggg,,
lizhuomin,192,209
yunque,113,127
fade,,
XJYyyyy,114,114
sddcd,12,12
yaob,,
bigubigu,32,32
fxxk_jp,610,632
gameleveling,6,6
