handle,rating,max_rating,rank,max_rank,contest_total
Tlopex,1878,1878,expert,expert,63
liangdaye,1974,1974,candidate master,candidate master,57
From_entry_to_exit_33,1918,1951,candidate master,candidate master,78
zpf666,1833,1833,expert,expert,41
empathy2.0,1754,1754,expert,expert,24
empathy117,1924,1924,candidate master,candidate master,89
disloss,1406,1523,specialist,specialist,61
Vanthoci,1950,1963,candidate master,candidate master,46
buctAI2001lipeifeng,1607,1692,expert,expert,54
LetMeFly,1566,1791,specialist,expert,99
xushuyu-s-grandfather,1794,1794,expert,expert,45
waiiting,1889,1889,expert,expert,47
wangqa,1605,1684,expert,expert,50
DBZQ-SC,1819,1819,expert,expert,50
DBZQ,1435,1544,specialist,specialist,8
code__learner,1721,1749,expert,expert,65
zouce,1702,1713,expert,expert,50
CleverXun,1958,1969,candidate master,candidate master,49
yueshehanjiang0_0,2059,2059,candidate master,candidate master,17
ccssbb__,351,351,newbie,newbie,1
xyy_liangcha,1170,1188,newbie,newbie,22
liangcha_xyy,999,1020,newbie,newbie,6
ug1y-b0y,1053,1110,newbie,newbie,16
sundage,1787,1787,expert,expert,49
sunsunsun,1814,1814,expert,expert,15
lzh6758,527,832,newbie,newbie,9
coolbreeze6758,406,406,newbie,newbie,1
Carpe_diem_,1075,1102,newbie,newbie,14
zccccccc,1313,1313,pupil,pupil,5
Uchujin,360,360,newbie,newbie,1
Victoria_king,1491,1503,specialist,specialist,34
wwwy,1548,1548,specialist,specialist,19
Y_star,1515,1531,specialist,specialist,10
Big-Tomatoes,1274,1277,pupil,pupil,22
6713,401,401,newbie,newbie,1
Hshhhhh,1479,1479,specialist,specialist,6
youyuanfeng,1406,1406,specialist,specialist,13
handsome_bee,1338,1372,pupil,pupil,8
xf_you,1110,1110,newbie,newbie,4
yuyuyy1,924,931,newbie,newbie,7
Yyyyyyc,703,703,newbie,newbie,2
dongdziz,2168,2168,master,master,24
sfjh,1589,1610,specialist,expert,34
ssjhgg,1664,1664,expert,expert,28
xhjh,1594,1640,specialist,expert,16
star.,1643,1643,expert,expert,53
starry__,1444,1501,specialist,specialist,9
2021040073,1347,1411,pupil,specialist,39
littlelittlesix,1430,1430,specialist,specialist,11
zxy0817,1355,1427,pupil,specialist,22
Gowilli,1077,1120,newbie,newbie,25
lixinying,1445,1454,specialist,specialist,30
try-harder,1509,1509,specialist,specialist,18
li4,1505,1505,specialist,specialist,6
2021040086,1273,1273,pupil,pupil,24
101010100,1078,1229,newbie,pupil,8
pbmjjs,989,989,newbie,newbie,11
FanWQ,1372,1372,pupil,pupil,39
Diapols,1331,1331,pupil,pupil,11
Sleeping_Knight,1348,1348,pupil,pupil,6
za1415,1452,1452,specialist,specialist,31
Petrified_Lizard,538,538,newbie,newbie,1
Rayanx,1841,1841,expert,expert,41
Rayanx_,1870,1870,expert,expert,14
rayadwind,1345,1388,pupil,pupil,23
jcbi,821,821,newbie,newbie,3
yostpetty,1670,1670,expert,expert,14
little_jyj,1531,1668,specialist,expert,17
sylviiiiiia,1303,1347,pupil,pupil,17
CoffeeStain,1254,1262,pupil,pupil,19
Zusammen,883,883,newbie,newbie,2
KillyMolisian,1496,1496,specialist,specialist,33
longcheng_x,1757,1858,expert,expert,100
dingzhen_only,1616,1616,expert,expert,6
WangQ,1776,1776,expert,expert,12
oneq,1650,1797,expert,expert,93
LancerLas,707,707,newbie,newbie,3
-.--.--.--.-,2012,2012,candidate master,candidate master,13
xwb20021119,2001,2001,candidate master,candidate master,84
qrxdxh,2131,2131,master,master,5
xiawaer,580,580,newbie,newbie,2
panjr,362,362,newbie,newbie,1
wuliiiii,1151,1151,newbie,newbie,5
wxhtzw--hh,881,1009,newbie,newbie,12
lurenchaoneng,965,965,newbie,newbie,4
hd123,638,907,newbie,newbie,11
zkwnewbee,965,1089,newbie,newbie,13
ilheart9,687,873,newbie,newbie,9
Bhy2825,373,373,newbie,newbie,1
Azhuei,360,360,newbie,newbie,1
sjzwdcyh,819,872,newbie,newbie,6
ilway,777,926,newbie,newbie,8
CrazyDogAng,941,941,newbie,newbie,8
Ray_Tachibana,764,764,newbie,newbie,3
yuqii,640,640,newbie,newbie,2
springcake,877,877,newbie,newbie,3
GaoJie2,844,907,newbie,newbie,8
liuyaohua,1193,1259,newbie,pupil,7
yyyllloo,1295,1295,pupil,pupil,6
lib5,631,631,newbie,newbie,2
buzaibailan,704,704,newbie,newbie,2
lzmmygod,631,631,newbie,newbie,2
demkO_3,372,372,newbie,newbie,1
hanmuuc,1699,1779,expert,expert,28
jtouzjh,1821,1821,expert,expert,19
lizhuomin,997,997,newbie,newbie,9
yunque123,749,919,newbie,newbie,11
sddcd,958,989,newbie,newbie,7
bigubigu,362,362,newbie,newbie,1
luhhhh,827,827,newbie,newbie,4
zxc11084,1451,1451,specialist,specialist,51
czkxiaohao,1457,1457,specialist,specialist,6
czkxiaoxiaohao,1470,1470,specialist,specialist,7
Small-Tomato,366,366,newbie,newbie,1
eerdeyu,622,622,newbie,newbie,2
sigonghuiye,347,347,newbie,newbie,1
LINGYEMAX,1184,1336,newbie,pupil,35
mouhuan,744,797,newbie,newbie,6
5000401202,349,349,newbie,newbie,1
buctlyy,690,690,newbie,newbie,2
cute_strawberry,852,960,newbie,newbie,13
Datorlin,626,626,newbie,newbie,2
Spaceman-nn,565,565,newbie,newbie,2
xiaozhihong263,349,349,newbie,newbie,1
zhanlizi,581,581,newbie,newbie,2
polarisss,824,824,newbie,newbie,3
ssssssya,1097,1097,newbie,newbie,14
song1.1,584,584,newbie,newbie,2
DAOZHENREN999,408,408,newbie,newbie,1
DAOZHENREN1000,609,609,newbie,newbie,2
bawiFox,1617,1793,expert,expert,101
JZshy,840,840,newbie,newbie,4
ZHtwinkle,1241,1273,pupil,pupil,13
happen,1308,1440,pupil,specialist,9
yzzupup,1553,1582,specialist,specialist,17
1710252529,1551,1561,specialist,specialist,13
essay,1459,1459,specialist,specialist,24
liuyuanyuan,1473,1499,specialist,specialist,21
BUCT_18_ChengYijun,1716,1716,expert,expert,34
Wrz-cai,1642,1642,expert,expert,21
YeeBy,1155,1402,newbie,specialist,47
wylls,1446,1446,specialist,specialist,24
Flos1009,1425,1425,specialist,specialist,15
Romance1z,990,990,newbie,newbie,4
yydmm,919,967,newbie,newbie,6
Dream_er,1017,1017,newbie,newbie,16
podokoo,1150,1258,newbie,pupil,16
clozer,895,895,newbie,newbie,4
Som5ra,1403,1407,specialist,specialist,25
luoyingiris,1134,1367,newbie,pupil,3
CT_Dong,1110,1454,newbie,specialist,18
kagura_kanami,1624,1722,expert,expert,79
yyyyyyyk,1712,1792,expert,expert,37
Nokismet,1217,1268,pupil,pupil,18
Double_B,2231,2233,master,master,44
heroalld,1329,1367,pupil,pupil,13
greatfater,1214,1436,pupil,specialist,8
23asdw233,1114,1395,newbie,pupil,7
DoubleIce,1958,1958,candidate master,candidate master,52
Jasmine.G,1159,1357,newbie,pupil,3
j9x19y,1114,1140,newbie,newbie,9
tomwang,1227,1383,pupil,pupil,10
Elliot-Alderson,993,1434,newbie,specialist,9
_Yuanshuai_,1617,1617,expert,expert,31
cfwrj0505,986,1056,newbie,newbie,6
chenge,1650,1650,expert,expert,21
miracle1114,773,773,newbie,newbie,3
fanle,1238,1238,pupil,pupil,8
zero8808,1643,1911,expert,candidate master,14
bhyyb,1520,1566,specialist,specialist,25
bleafumb,1469,1539,specialist,specialist,16
huahua,1637,1775,expert,expert,76
Lhw_666,1176,1249,newbie,pupil,6
tianxuanzhiren,1534,1661,specialist,expert,28
cordercorder,1633,1633,expert,expert,19
xhdd123321,1423,1449,specialist,specialist,2
yaovpn,1365,1465,pupil,specialist,4
uryuuu,2409,2409,grandmaster,grandmaster,69
ovo_1,1312,1312,pupil,pupil,6
jhas,1404,1445,specialist,specialist,16
2020chongya,1065,1365,newbie,pupil,4
PatLaws,375,375,newbie,newbie,1
Albert666,1020,1269,newbie,pupil,12
bookpen,1146,1257,newbie,pupil,13
ZZHzzh0_0,2116,2116,master,master,30
